
### Skeleton (220)
FJ3176   FMA12519   bone organ Atlas
FJ3177   FMA12520   bone organ Axis
FJ3178   FMA7487    bone       Body of sternum
FJ3182   FMA32651   bone organ Distal phalanx of left big toe
FJ3181   FMA32657   bone organ Distal phalanx of left fourth toe
FJ3183   FMA23953   bone organ Distal phalanx of left index finger
FJ3184   FMA23959   bone organ Distal phalanx of left little finger
FJ3185   FMA32659   bone organ Distal phalanx of left little toe
FJ3186   FMA23955   bone organ Distal phalanx of left middle finger
FJ3187   FMA23957   bone organ Distal phalanx of left ring finger
FJ3179   FMA32653   bone organ Distal phalanx of left second toe
FJ3180   FMA32655   bone organ Distal phalanx of left third toe
FJ3188   FMA23951   bone organ Distal phalanx of left thumb
FJ3192   FMA32650   bone organ Distal phalanx of right big toe
FJ3191   FMA32656   bone organ Distal phalanx of right fourth toe
FJ3193   FMA24460   bone organ Distal phalanx of right index finger
FJ3194   FMA24463   bone organ Distal phalanx of right little finger
FJ3195   FMA32658   bone organ Distal phalanx of right little toe
FJ3196   FMA24461   bone organ Distal phalanx of right middle finger
FJ3197   FMA24462   bone organ Distal phalanx of right ring finger
FJ3189   FMA32652   bone organ Distal phalanx of right second toe
FJ3190   FMA32654   bone organ Distal phalanx of right third toe
FJ3198   FMA24459   bone organ Distal phalanx of right thumb
FJ3174   FMA9991    bone organ Eighth thoracic vertebra
FJ3155   FMA10059   bone organ Eleventh thoracic vertebra
FJ3199   FMA52740   bone organ Ethmoid
FJ3167   FMA12523   bone organ Fifth cervical vertebra
FJ3168   FMA13076   bone organ Fifth lumbar vertebra
FJ3169   FMA9922    bone organ Fifth thoracic vertebra
FJ3157   FMA13072   bone organ First lumbar vertebra
FJ3158   FMA9165    bone organ First thoracic vertebra
FJ3164   FMA12522   bone organ Fourth cervical vertebra
FJ3165   FMA13075   bone organ Fourth lumbar vertebra
FJ3166   FMA9248    bone organ Fourth thoracic vertebra
FJ3200   FMA52734   bone organ Frontal bone
FJ2772   FMA52749   bone organ Hyoid bone
FJ3201   FMA52749   bone organ Hyoid bone
FJ3256   FMA24498   bone organ Left calcaneus
FJ3257   FMA24447   bone organ Left capitate
FJ3237   FMA13323   bone organ Left clavicle
FJ3258   FMA24529   bone organ Left cuboid bone
FJ3235   FMA8310    bone organ Left eighth rib
FJ3226   FMA8532    bone organ Left eleventh rib
FJ3259   FMA24475   bone organ Left femur
FJ3260   FMA24481   bone organ Left fibula
FJ3251   FMA8112    bone       Left fifth costal cartilage
FJ3252   FMA24473   bone organ Left fifth metacarpal bone
FJ3253   FMA24516   bone organ Left fifth metatarsal bone
FJ3232   FMA8093    bone organ Left fifth rib
FJ3239   FMA8005    bone       Left first costal cartilage
FJ3240   FMA24465   bone organ Left first metacarpal bone
FJ3241   FMA24508   bone organ Left first metatarsal bone
FJ3228   FMA7987    bone organ Left first rib
FJ3248   FMA8167    bone       Left fourth costal cartilage
FJ3249   FMA24471   bone organ Left fourth metacarpal bone
FJ3250   FMA24514   bone organ Left fourth metatarsal bone
FJ3231   FMA8148    bone organ Left fourth rib
FJ3261   FMA24449   bone organ Left hamate
FJ3288   FMA16587   bone organ Left hip bone
FJ3262   FMA23131   bone organ Left humerus
FJ3263   FMA54738   bone organ Left inferior nasal concha
FJ3264   FMA24524   bone organ Left intermediate cuneiform bone
FJ3265   FMA53646   bone organ Left lacrimal bone
FJ3267   FMA24526   bone organ Left lateral cuneiform bone
FJ3268   FMA24438   bone organ Left lunate
FJ3269   FMA53650   bone organ Left maxilla
FJ3271   FMA24522   bone organ Left medial cuneiform bone
FJ3272   FMA53648   bone organ Left nasal bone
FJ3236   FMA8391    bone organ Left ninth rib
FJ3273   FMA53656   bone organ Left palatine bone
FJ3274   FMA52789   bone organ Left parietal bone
FJ3275   FMA24487   bone organ Left patella
FJ3276   FMA24442   bone organ Left pisiform
FJ3277   FMA23465   bone organ Left radius
FJ3278   FMA24436   bone organ Left scaphoid
FJ3279   FMA13396   bone organ Left scapula
FJ3242   FMA8031    bone       Left second costal cartilage
FJ3243   FMA24467   bone organ Left second metacarpal bone
FJ3244   FMA24510   bone organ Left second metatarsal bone
FJ3229   FMA8012    bone organ Left second rib
FJ3255   FMA8275    bone       Left seventh costal cartilage
FJ3234   FMA8256    bone organ Left seventh rib
FJ3254   FMA8221    bone       Left sixth costal cartilage
FJ3233   FMA8202    bone organ Left sixth rib
FJ3280   FMA24483   bone organ Left talus
FJ3281   FMA52739   bone organ Left temporal bone
FJ3225   FMA8472    bone organ Left tenth rib
FJ3245   FMA8058    bone       Left third costal cartilage
FJ3246   FMA24469   bone organ Left third metacarpal bone
FJ3247   FMA24512   bone organ Left third metatarsal bone
FJ3230   FMA8039    bone organ Left third rib
FJ3282   FMA24478   bone organ Left tibia
FJ3283   FMA24444   bone organ Left trapezium
FJ3284   FMA24445   bone organ Left trapezoid
FJ3285   FMA24440   bone organ Left triquetral
FJ3227   FMA8534    bone organ Left twelfth rib
FJ3286   FMA23468   bone organ Left ulna
FJ3287   FMA52893   bone organ Left zygomatic bone
FJ3289   FMA52748   bone organ Mandible
FJ3290   FMA7486    bone       Manubrium
FJ3295   FMA32647   bone organ Middle phalanx of left fourth toe
FJ3296   FMA23938   bone organ Middle phalanx of left index finger
FJ3297   FMA23944   bone organ Middle phalanx of left little finger
FJ3298   FMA230988  bone organ Middle phalanx of left little toe
FJ3299   FMA23940   bone organ Middle phalanx of left middle finger
FJ3291   FMA23942   bone organ Middle phalanx of left ring finger
FJ3293   FMA32643   bone organ Middle phalanx of left second toe
FJ3294   FMA32645   bone organ Middle phalanx of left third toe
FJ3302   FMA32646   bone organ Middle phalanx of right fourth toe
FJ3303   FMA24455   bone organ Middle phalanx of right index finger
FJ3304   FMA24458   bone organ Middle phalanx of right little finger
FJ3305   FMA230986  bone organ Middle phalanx of right little toe
FJ3306   FMA24456   bone organ Middle phalanx of right middle finger
FJ3292   FMA24457   bone organ Middle phalanx of right ring finger
